Time,Plate_Number,Detection_Confidence,Source,Image_File
2026-01-28 00:12:15,,0.846,Video,plate_20260128_001215_3907_conf84.jpg
2026-01-28 00:12:19,,0.939,Video,plate_20260128_001219_7994_conf93.jpg
2026-01-28 00:12:22,,0.841,Video,plate_20260128_001222_1759_conf84.jpg
2026-01-28 00:12:30,,0.815,Video,plate_20260128_001230_9535_conf81.jpg
2026-01-28 08:07:13,,0.846,Video,plate_20260128_080713_3114_conf84.jpg
2026-01-28 08:07:16,,0.82,Video,plate_20260128_080716_6138_conf82.jpg
2026-01-28 08:07:20,,0.809,Video,plate_20260128_080720_9986_conf80.jpg
2026-01-29 09:50:09,,0.846,Video,plate_20260129_095009_8644_conf84.jpg
2026-01-29 09:50:12,,0.82,Video,plate_20260129_095012_1665_conf82.jpg
2026-01-29 09:50:15,faf,0.809,Video,plate_20260129_095015_5424_conf80.jpg
